DATE,TITLE,ARTIST,NUMBER OF WEEKS,TITLE LENGTH,SONG LENGTH
22/11/1957,MARY'S BOY CHILD,HARRY BELAFONTE,7,16,3.01
10/01/1958,GREAT BALLS OF FIRE,JERRY LEE LEWIS,2,19,1.50
24/01/1958,JAILHOUSE ROCK,ELVIS PRESLEY,3,14,2.26
14/02/1958,THE STORY OF MY LIFE,MICHAEL HOLLIDAY,2,20,2.15
28/02/1958,MAGIC MOMENTS,PERRY COMO,8,13,2.40
25/04/1958,WHOLE LOTTA WOMAN,MARVIN RAINWATER,3,17,2.38
16/05/1958,WHO'S SORRY NOW,CONNIE FRANCIS,6,15,2.16
27/06/1958,ON THE STREET WHERE YOU LIVE,VIC DAMONE,2,28,2.43
04/07/1958,ALL I HAVE TO DO IS DREAM/CLAUDETTE,EVERLY BROTHERS,7,35,2.20
22/08/1958,WHEN,KALIN TWINS,5,4,2.26
26/09/1958,CAROLINA MOON/STUPID CUPID,CONNIE FRANCIS,6,26,2.33
07/11/1958,IT'S ALL IN THE GAME,TOMMY EDWARDS,3,20,2.38
28/11/1958,HOOTS MON,LORD ROCKINGHAM'S XI,3,9,2.14
19/12/1958,IT'S ONLY MAKE BELIEVE,CONWAY TWITTY,5,22,2.30
23/01/1959,THE DAYS THE RAINS CAME,JANE MORGAN,1,23,2.57
30/01/1959,ONE NIGHT/I GOT STUNG,ELVIS PRESLEY,3,21,1.49
20/02/1959,AS I LOVE YOU,SHIRLEY BASSEY,4,13,2.18
20/03/1959,SMOKE GETS IN YOUR EYES,PLATTERS,1,23,2.40
27/03/1959,SIDE SADDLE,RUSS CONWAY,4,11,1.54
24/04/1959,IT DOESN'T MATTER ANYMORE,BUDDY HOLLY,3,25,2.03
15/05/1959,A FOOL SUCH AS I/I NEED YOUR LOVE TONIGHT,ELVIS PRESLEY,5,41,2.39
19/06/1959,ROULETTE,RUSS CONWAY,2,8,1.54
03/07/1959,DREAM LOVER,BOBBY DARIN,4,11,2.30
31/07/1959,LIVING DOLL,CLIFF RICHARD & THE SHADOWS,6,11,4.17
11/09/1959,ONLY SIXTEEN,CRAIG DOUGLAS,4,12,2.15
09/10/1959,HERE COMES SUMMER,JERRY KELLER,1,17,2.07
16/10/1959,MACK THE KNIFE,BOBBY DARIN,2,14,3.04
30/10/1959,TRAVELLIN' LIGHT,CLIFF RICHARD & THE SHADOWS,5,16,2.39
04/12/1959,WHAT DO YOU WANT,ADAM FAITH,3,16,1.38
18/12/1959,WHAT DO YOU WANT TO MAKE THOSE EYES AT ME FOR,EMILE FORD & THE CHECKMATES,6,45,2.08
29/01/1960,STARRY EYED,MICHAEL HOLLIDAY WITH THE MICHAEL SAMMES SINGERS,1,11,2.23
05/02/1960,WHY,ANTHONY NEWLEY,4,3,2.26
10/03/1960,POOR ME,ADAM FAITH,1,7,1.46
17/03/1960,RUNNING BEAR,JOHNNY PRESTON,2,12,2.38
31/03/1960,MY OLD MAN'S A DUSTMAN,LONNIE DONEGAN,4,22,3.23
28/04/1960,DO YOU MIND,ANTHONY NEWLEY,1,11,2.19
05/05/1960,CATHY'S CLOWN,EVERLY BROTHERS,7,13,2.24
23/06/1960,THREE STEPS TO HEAVEN,EDDIE COCHRAN,2,21,2.24
07/07/1960,GOOD TIMIN',JIMMY JONES,3,11,2.04
28/07/1960,PLEASE DON'T TEASE,CLIFF RICHARD & THE SHADOWS,1,18,2.59
04/08/1960,SHAKIN' ALL OVER,JOHNNY KIDD & THE PIRATES,1,16,2.21
11/08/1960,PLEASE DON'T TEASE,CLIFF RICHARD & THE SHADOWS,2,18,2.59
25/08/1960,APACHE,SHADOWS,5,6,2.54
29/09/1960,TELL LAURA I LOVE HER,RICKY VALANCE,3,21,2.40
20/10/1960,ONLY THE LONELY,ROY ORBISON,2,15,2.25
03/11/1960,IT'S NOW OR NEVER,ELVIS PRESLEY WITH THE JORDANAIRES,8,17,3.16
29/12/1960,I LOVE YOU,CLIFF RICHARD & THE SHADOWS,2,10,2.01
12/01/1961,POETRY IN MOTION,JOHNNY TILLOTSON,2,16,2.30
26/01/1961,ARE YOU LONESOME TONIGHT,ELVIS PRESLEY WITH THE JORDANAIRES,4,24,3.07
23/02/1961,SAILOR,PETULA CLARK,1,6,2.55
02/03/1961,WALK RIGHT BACK/EBONY EYES,EVERLY BROTHERS,3,26,2.19
23/03/1961,WOODEN HEART,ELVIS PRESLEY,6,12,2.01
04/05/1961,BLUE MOON,MARCELS,2,9,2.16
18/05/1961,ON THE REBOUND,FLOYD CRAMER,1,14,2.07
25/05/1961,YOU'RE DRIVING ME CRAZY,TEMPERANCE SEVEN,1,23,3.56
01/06/1961,SURRENDER,ELVIS PRESLEY WITH THE JORDANAIRES,4,9,1.52
29/06/1961,RUNAWAY,DEL SHANNON,3,7,2.18
20/07/1961,TEMPTATION,EVERLY BROTHERS,2,10,2.11
03/08/1961,WELL I ASK YOU,EDEN KANE,1,14,2.13
10/08/1961,YOU DON'T KNOW,HELEN SHAPIRO,3,14,2.40
31/08/1961,JOHNNY REMEMBER ME,JOHN LEYTON,3,18,2.40
21/09/1961,REACH FOR THE STARS/CLIMB EV'RY MOUNTAIN,SHIRLEY BASSEY,1,40,2.56
28/09/1961,JOHNNY REMEMBER ME,JOHN LEYTON,1,18,2.40
05/10/1961,KON-TIKI,SHADOWS,1,8,2.48
12/10/1961,MICHAEL,HIGHWAYMEN,1,7,2.44
19/10/1961,WALKIN' BACK TO HAPPINESS,HELEN SHAPIRO,3,25,2.31
09/11/1961,(MARIE'S THE NAME) HIS LATEST FLAME/LITTLE SISTER,ELVIS PRESLEY,4,49,2.07
07/12/1961,TOWER OF STRENGTH,FRANKIE VAUGHAN,3,17,2.06
28/12/1961,MOON RIVER,DANNY WILLIAMS,2,10,2.37
11/01/1962,THE YOUNG ONES,CLIFF RICHARD & THE SHADOWS,6,14,3.11
22/02/1962,ROCK A HULA BABY/CAN'T HELP FALLING IN LOVE,ELVIS PRESLEY,4,43,1.59
22/03/1962,WONDERFUL LAND,SHADOWS,8,14,2.06
17/05/1962,NUT ROCKER,B.BUMBLE & THE STINGERS,1,10,1.59
24/05/1962,GOOD LUCK CHARM,ELVIS PRESLEY,5,15,2.25
28/06/1962,COME OUTSIDE,MIKE SARNE WITH WENDY RICHARD,2,12,2.52
12/07/1962,I CAN'T STOP LOVING YOU,RAY CHARLES,2,23,4.16
26/07/1962,I REMEMBER YOU,FRANK IFIELD,7,14,2.04
13/09/1962,SHE'S NOT YOU,ELVIS PRESLEY,3,13,2.08
04/10/1962,TELSTAR,TORNADOS,5,7,3.15
08/11/1962,LOVESICK BLUES,FRANK IFIELD,5,14,2.17
13/12/1962,RETURN TO SENDER,ELVIS PRESLEY WITH THE JORDANAIRES,3,16,2.08
03/01/1963,THE NEXT TIME/BACHELOR BOY,CLIFF RICHARD & THE SHADOWS,3,26,2.54
24/01/1963,DANCE ON!,SHADOWS,1,9,2.23
31/01/1963,DIAMONDS,JET HARRIS & TONY MEEHAN,3,8,2.28
21/02/1963,THE WAYWARD WIND,FRANK IFIELD,3,16,2.43
14/03/1963,SUMMER HOLIDAY,CLIFF RICHARD & THE SHADOWS,2,14,2.07
29/03/1963,FOOT TAPPER,SHADOWS,1,11,2.26
04/04/1963,SUMMER HOLIDAY,CLIFF RICHARD & THE SHADOWS,1,14,2.07
11/04/1963,HOW DO YOU DO IT?,GERRY & THE PACEMAKERS,3,17,1.54
02/05/1963,FROM ME TO YOU,BEATLES,7,14,1.56
20/06/1963,I LIKE IT,GERRY & THE PACEMAKERS,4,9,2.15
18/07/1963,CONFESSIN' (THAT I LOVE YOU),FRANK IFIELD,2,28,2.03
01/08/1963,(YOU'RE THE) DEVIL IN DISGUISE,ELVIS PRESLEY WITH THE JORDANAIRES,1,30,2.20
08/08/1963,SWEETS FOR MY SWEET,SEARCHERS,2,19,2.29
22/08/1963,BAD TO ME,BILLY J. KRAMER & THE DAKOTAS,3,9,2.21
12/09/1963,SHE LOVES YOU,BEATLES,4,13,2.20
10/10/1963,DO YOU LOVE ME,BRIAN POOLE & THE TREMELOES,3,14,2.22
31/10/1963,YOU'LL NEVER WALK ALONE,GERRY & THE PACEMAKERS,4,23,2.40
28/11/1963,SHE LOVES YOU,BEATLES,2,13,2.20
12/12/1963,I WANT TO HOLD YOUR HAND,BEATLES,5,24,2.25
16/01/1964,GLAD ALL OVER,DAVE CLARK FIVE,2,13,2.43
30/01/1964,NEEDLES AND PINS,SEARCHERS,3,16,2.11
20/02/1964,DIANE,BACHELORS,1,5,2.31
27/02/1964,ANYONE WHO HAD A HEART,CILLA BLACK,3,22,2.51
19/03/1964,LITTLE CHILDREN,BILLY J. KRAMER & THE DAKOTAS,2,15,2.47
02/04/1964,CAN'T BUY ME LOVE,BEATLES,3,17,2.11
23/04/1964,A WORLD WITHOUT LOVE,PETER & GORDON,2,20,2.40
07/05/1964,DON'T THROW YOUR LOVE AWAY,SEARCHERS,2,26,2.16
